Library_ID	Genotype	Gen_Group	Phenotype	Serial_Number	Bench_Position	Bench	Treatment	Leaf1_Stage	Leaf2_Stage	Inoc_Time	Worker	Date_Time	Inoc_temp_C	Inoc_RH_perc	Inoc_light_lux	Collect_temp_C	Collect_RH_perc	Collect_light_lux
AMAZ12_016_1A42_S14	AMAZ 12	Iquitos	S	16	1-A-4-2	1A	treatment	DE	DE	06/24/20 09:32:00 PM	NPW	06/25/20 05:45:00 AM	26.965	70.229	11.8	26.842	72.829	27.6
AMAZ12_103_2A44_S31	AMAZ 12	Iquitos	S	103	2-A-4-4	2A	control	E	DE	06/24/20 09:40:00 PM	MGP	06/25/20 05:56:00 AM	25.525	78.808	11.8	25.598	76.561	51.2
COCA33705_031_1B14_S11	COCA 3370/5	Iquitos	R	31	1-B-1-4	1B	control	D	D	06/24/20 10:17:00 PM	NPW	06/25/20 06:37:00 AM	26.426	78.814	11.8	26.818	76.114	413.9
COCA33705_036_1B24_S16	COCA 3370/5	Iquitos	R	36	1-B-2-4	1B	control	DE	DE	06/24/20 10:30:00 PM	NPW	06/25/20 06:51:00 AM	26.475	79.513	11.8	26.891	74.762	524.3
COCA33705_074_1C43_S5	COCA 3370/5	Iquitos	R	74	1-C-4-3	1C	treatment	E	E	06/25/20 12:15:00 AM	NPW	06/25/20 09:07:00 AM	24.847	82.753	NA	26.378	79.241	NA
COCA33705_079_1C54_S10	COCA 3370/5	Iquitos	R	79	1-C-5-4	1C	treatment	E	E	06/25/20 12:27:00 AM	NPW	06/25/20 09:17:00 AM	24.823	83.003	NA	26.524	79.416	NA
COCA33705_106_2A52_S17	COCA 3370/5	Iquitos	R	106	2-A-5-2	2A	control	E	DE	06/24/20 09:47:00 PM	MGP	06/25/20 06:06:00 AM	25.38	78.605	11.8	25.574	77.088	90.7
COCA33705_115_2B12_S27	COCA 3370/5	Iquitos	R	115	2-B-1-2	2B	treatment	D	D	06/24/20 10:17:00 PM	MGP	06/25/20 06:37:00 AM	26.036	74.844	11.8	26.256	69.777	516.4
COCA33705_118_2B22_S29	COCA 3370/5	Iquitos	R	118	2-B-2-2	2B	treatment	E	E	06/24/20 10:22:00 PM	MGP	06/25/20 06:43:00 AM	26.061	74.589	3.9	26.304	69.846	579.5
COCA33705_159_2C43_S22	COCA 3370/5	Iquitos	R	159	2-C-4-3	2C	control	E	E	06/25/20 12:15:00 AM	MGP	06/25/20 09:07:00 AM	24.75	84.484	3.9	28.617	68.631	2061.6
